,ID,Set
0,9382,train
1,9401,train
2,6464,train
3,14864,train
4,12115,train
5,12030,train
6,11979,train
7,6539,train
8,9178,train
9,9272,train
10,775,train
11,4150,train
12,29,train
13,3467,train
14,21289,train
15,19035,train
16,6729,train
17,15188,train
18,13264,train
19,18332,train
20,9728,train
21,6384,train
22,21284,train
23,21073,train
24,9846,train
25,12935,train
26,895,train
27,6517,train
28,12791,train
29,15637,train
30,7316,train
31,13199,train
32,10095,train
33,12550,train
34,14900,train
35,695,train
36,7025,train
37,16068,train
38,12420,train
39,1021,train
40,13178,train
41,16509,train
42,7199,train
43,8874,train
44,4004,train
45,19342,train
46,9632,train
47,18639,train
48,16412,train
49,12946,train
50,10249,train
51,9933,train
52,1315,train
53,4387,train
54,16565,train
55,12390,train
56,4402,train
57,1099,train
58,9968,train
59,7138,train
60,13221,train
61,4697,train
62,9083,train
63,15053,train
64,6405,train
65,12147,train
66,6076,train
67,9906,train
68,1396,train
69,12820,train
70,7418,train
71,1089,train
72,20953,train
73,19100,train
74,10596,train
75,438,train
76,15113,train
77,16234,train
78,6302,train
79,4396,train
80,4228,train
81,9172,train
82,8870,train
83,14987,train
84,15751,train
85,12954,train
86,6217,train
87,863,train
88,16570,train
89,4466,train
90,9706,train
91,3884,train
92,7382,train
93,12939,train
94,6699,train
95,6440,train
96,17917,train
97,958,train
98,18557,train
99,3101,train
100,10016,train
101,15106,train
102,19385,train
103,6532,train
104,21373,train
105,14903,train
106,15690,train
107,3869,train
108,9978,train
109,21205,train
110,15998,train
111,21599,train
112,21569,train
113,18221,train
114,1221,train
115,15784,train
116,13334,train
117,18962,train
118,4039,train
119,3491,train
120,16556,train
121,12718,train
122,16031,train
123,18934,train
124,16122,train
125,12445,train
126,9325,train
127,10439,train
128,9766,train
129,10123,train
130,6644,train
131,19467,train
132,1372,train
133,7371,train
134,462,train
135,9385,train
136,6988,train
137,15460,train
138,18370,train
139,3499,train
140,3191,train
141,18927,train
142,3629,train
143,11893,train
144,7002,train
145,8897,train
146,19455,train
147,1310,train
148,20733,train
149,1524,train
150,21582,train
151,12599,train
152,1467,train
153,16232,train
154,16592,train
155,13605,train
156,7062,train
157,18031,train
158,4576,train
159,4728,train
160,15219,train
161,19025,train
162,9798,train
163,3995,train
164,14888,train
165,1399,train
166,12801,train
167,19295,train
168,15999,train
169,3394,train
170,11973,train
171,7332,train
172,307,train
173,7427,train
174,13539,train
175,19094,train
176,6144,train
177,3249,train
178,3993,train
179,3906,train
180,6065,train
181,10307,train
182,9021,train
183,9777,train
184,9218,train
185,7668,train
186,13208,train
187,13149,train
188,19541,train
189,6883,train
190,6418,train
191,18855,train
192,18653,train
193,21013,train
194,6471,train
195,635,train
196,106,train
